id;page_url;reporter_name;reporter_comment;text_before_typo;text_typo;text_after_typo;correction_status
1;Assistant Licensed;plum payment;quantify;Specialist;productize Infrastructure;South Georgia and the South Sandwich Islands;CANCELED
2;Corporate Persevering Steel;Cambridgeshire Tunnel;Personal Loan Account;Intelligent Soft Chair Optimized Home;Principal;payment Investment Account;REPORTED
3;Brand online CSS;Savings Account;Chief;Massachusetts California;Martinique attitude-oriented;copying Intelligent Plastic Chicken;REPORTED
4;back-end Berkshire;hard drive Reduced;port;Unbranded Towels Chair;artificial intelligence Refined neural-net;Inlet;IN_PROGRESS
5;Dominican Peso Mobility;overriding;Lead Health Incredible Frozen Bike;feed Licensed;Incredible Ergonomic matrix;Handmade Ohio;CANCELED
6;mesh Games;high-level;synthesizing;solid state;Practical generating Multi-channelled;Montana Shoes synthesize;IN_PROGRESS
7;Strategist virtual;Visionary value-added;Movies multi-byte;zero defect deposit Home Loan Account;technologies Investment Account;efficient frictionless Dobra;CANCELED
8;Compatible Groves Focused;payment Hawaii;Maryland paradigm;Baby applications haptic;Awesome Fresh Hat;Marshall Islands;IN_PROGRESS
9;Money Market Account;purple silver Handmade;Credit Card Account Streamlined Pa'anga;engineer Fantastic;Gorgeous Cotton Fish;Open-source synergistic JBOD;CANCELED
10;synthesizing Licensed Bike;Beauty Buckinghamshire;Incredible sensor;e-business Books;Generic Metal Fish invoice Ameliorated;compress;CANCELED
